msisdn,imsi,allocation_date,sim_type
6749990345,5.3603E+14,\N,micro-SIM
6749990346,5.3603E+14,\N,micro-SIM
6749990347,5.3603E+14,\N,micro-SIM
6749990348,5.3603E+14,\N,micro-SIM
6749990349,5.3603E+14,\N,micro-SIM
6749990350,5.3603E+14,\N,micro-SIM
6748880001,5.3603E+14,16-12-2024,micro-SIM
6748880002,5.3603E+14,16-12-2024,micro-SIM
6748880003,5.3603E+14,16-12-2024,micro-SIM
6748880004,5.3603E+14,16-12-2024,e-SIM
6748880005,5.3603E+14,16-12-2024,micro-SIM
6748880006,5.3603E+14,16-12-2024,micro-SIM
6748880007,5.3603E+14,16-12-2024,micro-SIM
6748880008,5.3603E+14,16-12-2024,e-SIM
6748880009,5.3603E+14,16-12-2024,micro-SIM
6748880010,5.3603E+14,16-12-2024,micro-SIM
6748880011,5.3603E+14,16-12-2024,micro-SIM
6748880012,5.3603E+14,16-12-2024,micro-SIM
6748880013,5.3603E+14,16-12-2024,micro-SIM
6748880014,5.3603E+14,16-12-2024,micro-SIM
6748880015,5.3603E+14,16-12-2024,micro-SIM
6748880016,5.3603E+14,16-12-2024,micro-SIM
6748880017,5.3603E+14,16-12-2024,micro-SIM
6748880018,5.3603E+14,16-12-2024,micro-SIM
6748880019,5.3603E+14,16-12-2024,micro-SIM
6748880020,5.3603E+14,16-12-2024,micro-SIM
6749990007,5.3603E+14,18-12-2024,micro-SIM
6747770001,5.36037E+14,20-12-2024,micro-SIM
6747770002,5.36037E+14,20-12-2024,micro-SIM
6747770003,5.36037E+14,20-12-2024,micro-SIM
6747770004,5.36037E+14,23-12-2024,E-SIM
6747770005,5.36037E+14,23-12-2024,micro-SIM
110,5.3603E+14,\N,micro-SIM
111,5.3603E+14,\N,micro-SIM
113,5.3603E+14,\N,micro-SIM
6748889900,5.3603E+14,20-12-2024,micro-SIM
6748889901,5.3603E+14,20-12-2024,micro-SIM
6749990005,5.3603E+14,21-12-2024,micro-SIM
6748889902,5.3603E+14,\N,micro-SIM
6748889903,5.3603E+14,24-12-2024,micro-SIM
6748889919,5.3603E+14,13-01-2025,micro-SIM
6749990030,5.3603E+14,28-12-2024,micro-SIM
6749990031,5.3603E+14,28-12-2024,e-SIM
6749990032,5.3603E+14,28-12-2024,micro-SIM
6749990033,5.3603E+14,28-12-2024,micro-SIM
6749990034,5.3603E+14,28-12-2024,micro-SIM
6749990035,5.3603E+14,28-12-2024,micro-SIM
6749990036,5.3603E+14,28-12-2024,micro-SIM
6749990037,5.3603E+14,28-12-2024,micro-SIM
6749990038,5.3603E+14,28-12-2024,e-SIM
6749990039,5.3603E+14,28-12-2024,micro-SIM
6749990040,5.3603E+14,28-12-2024,micro-SIM
6749990041,5.3603E+14,28-12-2024,micro-SIM
6749990042,5.3603E+14,28-12-2024,micro-SIM
6749990043,5.3603E+14,28-12-2024,micro-SIM
6749990044,5.3603E+14,28-12-2024,micro-SIM
6749990045,5.3603E+14,28-12-2024,micro-SIM
6749990046,5.3603E+14,28-12-2024,micro-SIM
6749990047,5.3603E+14,28-12-2024,micro-SIM
6749990048,5.3603E+14,28-12-2024,micro-SIM
6749990049,5.3603E+14,28-12-2024,micro-SIM
6749990050,5.3603E+14,28-12-2024,micro-SIM
6749990052,5.3603E+14,28-12-2024,micro-SIM
6749990053,5.3603E+14,28-12-2024,micro-SIM
6749990054,5.3603E+14,28-12-2024,e-SIM
6749990055,5.3603E+14,28-12-2024,e-SIM
6749990056,5.3603E+14,28-12-2024,micro-SIM
6749990057,5.3603E+14,28-12-2024,micro-SIM
6749990058,5.3603E+14,28-12-2024,micro-SIM
6749990059,5.3603E+14,28-12-2024,micro-SIM
6749990060,5.3603E+14,28-12-2024,micro-SIM
6749990061,5.3603E+14,28-12-2024,e-SIM
6749990062,5.3603E+14,28-12-2024,micro-SIM
6749990063,5.3603E+14,28-12-2024,micro-SIM
6749990064,5.3603E+14,28-12-2024,micro-SIM
6749990065,5.3603E+14,28-12-2024,micro-SIM
6749990066,5.3603E+14,28-12-2024,micro-SIM
6749990067,5.3603E+14,28-12-2024,micro-SIM
6749990068,5.3603E+14,28-12-2024,micro-SIM
6749990069,5.3603E+14,28-12-2024,micro-SIM
6749990070,5.3603E+14,28-12-2024,e-SIM
6749990071,5.3603E+14,28-12-2024,micro-SIM
6749990072,5.3603E+14,28-12-2024,micro-SIM
6749990073,5.3603E+14,28-12-2024,micro-SIM
6749990074,5.3603E+14,28-12-2024,micro-SIM
6749990075,5.3603E+14,28-12-2024,micro-SIM
6749990076,5.3603E+14,28-12-2024,micro-SIM
6749990077,5.3603E+14,28-12-2024,micro-SIM
6749990078,5.3603E+14,28-12-2024,micro-SIM
6749990079,5.3603E+14,28-12-2024,micro-SIM
6749990080,5.3603E+14,28-12-2024,micro-SIM
6742227002,5.3603E+14,30-12-2024,micro-SIM
6742227003,5.3603E+14,30-12-2024,micro-SIM
6742227004,5.3603E+14,30-12-2024,micro-SIM
6742227005,5.3603E+14,30-12-2024,micro-SIM
6742227006,5.3603E+14,30-12-2024,micro-SIM
6742227007,5.3603E+14,03-01-2025,micro-SIM
6742227008,5.3603E+14,03-01-2025,micro-SIM
6742227009,5.3603E+14,03-01-2025,micro-SIM
6742227010,5.3603E+14,03-01-2025,micro-SIM
6742227011,5.3603E+14,03-01-2025,micro-SIM
6742227012,5.3603E+14,03-01-2025,micro-SIM
6742227013,5.3603E+14,03-01-2025,micro-SIM
6742227014,5.3603E+14,03-01-2025,micro-SIM
6742227015,5.3603E+14,03-01-2025,micro-SIM
6742227016,5.3603E+14,03-01-2025,micro-SIM
6748881234,5.3603E+14,03-01-2025,micro-SIM
6742227017,5.3603E+14,30-01-2025,micro-SIM
6742227018,5.3603E+14,27-02-2025,micro-SIM
6742227019,5.3603E+14,20-02-2025,micro-SIM
6742227020,5.3603E+14,30-01-2025,micro-SIM
6742227021,5.3603E+14,30-01-2025,micro-SIM
6742227022,5.3603E+14,30-01-2025,micro-SIM
6742227023,5.3603E+14,30-01-2025,micro-SIM
6742227024,5.3603E+14,04-02-2025,micro-SIM
6742227025,5.3603E+14,\N,micro-SIM
6742227026,5.3603E+14,\N,micro-SIM
6742227027,5.3603E+14,30-01-2025,micro-SIM
6742227028,5.3603E+14,25-02-2025,micro-SIM
6742227029,5.3603E+14,30-01-2025,micro-SIM
6742227030,5.3603E+14,28-02-2025,micro-SIM
6742227031,5.3603E+14,06-03-2025,micro-SIM
6742227032,5.3603E+14,09-05-2025,micro-SIM
6742227033,5.3603E+14,28-02-2025,micro-SIM
6742227034,5.3603E+14,21-03-2025,micro-SIM
6742227035,5.3603E+14,18-02-2025,micro-SIM
6742227036,5.3603E+14,21-05-2025,micro-SIM
6742227037,5.3603E+14,21-03-2025,micro-SIM
6742227038,5.3603E+14,09-04-2025,micro-SIM
6742227039,5.3603E+14,07-04-2025,micro-SIM
6742227040,5.3603E+14,\N,micro-SIM
6742227041,5.3603E+14,21-03-2025,micro-SIM
6742227042,5.3603E+14,\N,micro-SIM
6742227043,5.3603E+14,22-05-2025,micro-SIM
6742227044,5.3603E+14,23-04-2025,micro-SIM
6742227045,5.3603E+14,\N,micro-SIM
6742227046,5.3603E+14,26-03-2025,micro-SIM
6742227047,5.3603E+14,\N,micro-SIM
6742227048,5.3603E+14,24-03-2025,micro-SIM
6742227049,5.3603E+14,17-02-2025,micro-SIM
6742227050,5.3603E+14,14-02-2025,micro-SIM
6742227051,5.3603E+14,\N,micro-SIM
6742227052,5.3603E+14,11-03-2025,micro-SIM
6742227053,5.3603E+14,07-02-2025,micro-SIM
6742227054,5.3603E+14,24-02-2025,micro-SIM
6742227055,5.3603E+14,\N,micro-SIM
6742227056,5.3603E+14,04-02-2025,micro-SIM
6742227057,5.3603E+14,21-02-2025,micro-SIM
6742227058,5.3603E+14,07-05-2025,micro-SIM
6742227059,5.3603E+14,28-04-2025,micro-SIM
6742227060,5.3603E+14,07-05-2025,micro-SIM
6742227061,5.3603E+14,17-04-2025,micro-SIM
6742227062,5.3603E+14,15-04-2025,micro-SIM
6742227063,5.3603E+14,24-04-2025,micro-SIM
6742227064,5.3603E+14,24-03-2025,micro-SIM
6742227065,5.3603E+14,15-04-2025,micro-SIM
6742227066,5.3603E+14,22-05-2025,micro-SIM
6742227067,5.3603E+14,28-03-2025,micro-SIM
6742227068,5.3603E+14,21-03-2025,micro-SIM
6742227069,5.3603E+14,\N,micro-SIM
6742227070,5.3603E+14,26-03-2025,micro-SIM
6742227071,5.3603E+14,21-01-2025,micro-SIM
6742227072,5.3603E+14,21-03-2025,micro-SIM
6742227073,5.3603E+14,27-03-2025,micro-SIM
6742227074,5.3603E+14,25-03-2025,micro-SIM
6742227075,5.3603E+14,05-05-2025,micro-SIM
6742227076,5.3603E+14,02-05-2025,micro-SIM
6742227077,5.3603E+14,24-04-2025,micro-SIM
6742227078,5.3603E+14,09-05-2025,micro-SIM
6742227079,5.3603E+14,14-05-2025,micro-SIM
6742227080,5.3603E+14,29-04-2025,micro-SIM
6742227081,5.3603E+14,28-04-2025,micro-SIM
6742227082,5.3603E+14,09-05-2025,micro-SIM
6742227083,5.3603E+14,\N,micro-SIM
6742227084,5.3603E+14,09-05-2025,micro-SIM
6742227085,5.3603E+14,24-04-2025,micro-SIM
6742227086,5.3603E+14,01-05-2025,micro-SIM
6742227087,5.3603E+14,\N,micro-SIM
6742227088,5.3603E+14,\N,micro-SIM
6742227089,5.3603E+14,\N,micro-SIM
6742227090,5.3603E+14,29-01-2025,micro-SIM
6742227091,5.3603E+14,29-01-2025,micro-SIM
6742227092,5.3603E+14,\N,micro-SIM
6742227093,5.3603E+14,29-01-2025,micro-SIM
6742227095,5.3603E+14,29-01-2025,micro-SIM
6742227096,5.3603E+14,29-01-2025,micro-SIM
6742227097,5.3603E+14,29-01-2025,micro-SIM
6742227098,5.3603E+14,\N,micro-SIM
6742227099,5.3603E+14,29-01-2025,micro-SIM
6742227100,5.3603E+14,29-01-2025,micro-SIM
6742227101,5.3603E+14,29-01-2025,micro-SIM
6742227102,5.3603E+14,29-01-2025,micro-SIM
6742227103,5.3603E+14,29-01-2025,micro-SIM
6742227104,5.3603E+14,29-01-2025,micro-SIM
6742227106,5.3603E+14,01-02-2025,micro-SIM
6742227107,5.3603E+14,29-01-2025,micro-SIM
6742227109,5.3603E+14,29-01-2025,micro-SIM
6742227110,5.3603E+14,29-01-2025,micro-SIM
6742227112,5.3603E+14,29-01-2025,micro-SIM
6742227113,5.3603E+14,29-01-2025,micro-SIM
6742227114,5.3603E+14,29-01-2025,micro-SIM
6742227115,5.3603E+14,29-01-2025,micro-SIM
6742227116,5.3603E+14,29-01-2025,micro-SIM
6742227117,5.3603E+14,29-01-2025,micro-SIM
6742227118,5.3603E+14,29-01-2025,micro-SIM
6742227119,5.3603E+14,\N,micro-SIM
6742227120,5.3603E+14,02-04-2025,micro-SIM
6742227121,5.3603E+14,04-02-2025,micro-SIM
6742227122,5.3603E+14,14-02-2025,micro-SIM
6742227123,5.3603E+14,13-02-2025,micro-SIM
6742227124,5.3603E+14,13-02-2025,micro-SIM
6742227125,5.3603E+14,04-02-2025,micro-SIM
6742227126,5.3603E+14,20-02-2025,micro-SIM
6742227127,5.3603E+14,06-02-2025,micro-SIM
6742227128,5.3603E+14,11-02-2025,micro-SIM
6742227129,5.3603E+14,01-02-2025,micro-SIM
6742227130,5.3603E+14,\N,micro-SIM
6742227131,5.3603E+14,05-02-2025,micro-SIM
6742227132,5.3603E+14,04-02-2025,micro-SIM
6742227133,5.3603E+14,26-04-2025,micro-SIM
6742227134,5.3603E+14,05-02-2025,micro-SIM
6742227135,5.3603E+14,26-02-2025,micro-SIM
6742227136,5.3603E+14,13-03-2025,micro-SIM
6742227137,5.3603E+14,28-02-2025,micro-SIM
6742227138,5.3603E+14,18-03-2025,micro-SIM
6742227139,5.3603E+14,03-03-2025,micro-SIM
6742227140,5.3603E+14,\N,micro-SIM
6742227141,5.3603E+14,06-03-2025,micro-SIM
6742227142,5.3603E+14,05-03-2025,micro-SIM
6742227143,5.3603E+14,28-02-2025,micro-SIM
6742227144,5.3603E+14,13-03-2025,micro-SIM
6742227145,5.3603E+14,20-02-2025,micro-SIM
6742227146,5.3603E+14,13-05-2025,micro-SIM
6742227147,5.3603E+14,14-03-2025,micro-SIM
6742227148,5.3603E+14,14-03-2025,micro-SIM
6742227149,5.3603E+14,17-03-2025,micro-SIM
6742227150,5.3603E+14,\N,micro-SIM
6742227151,5.3603E+14,18-02-2025,micro-SIM
6742227152,5.3603E+14,14-02-2025,micro-SIM
6742227153,5.3603E+14,\N,micro-SIM
6742227154,5.3603E+14,26-03-2025,micro-SIM
6742227155,5.3603E+14,07-04-2025,micro-SIM
6742227156,5.3603E+14,\N,micro-SIM
6742227157,5.3603E+14,31-03-2025,micro-SIM
6742227158,5.3603E+14,02-04-2025,micro-SIM
6742227159,5.3603E+14,02-04-2025,micro-SIM
6742227160,5.3603E+14,24-03-2025,micro-SIM
6742227161,5.3603E+14,14-02-2025,micro-SIM
6742227162,5.3603E+14,13-02-2025,micro-SIM
6742227163,5.3603E+14,12-02-2025,micro-SIM
6742227164,5.3603E+14,14-02-2025,micro-SIM
6742227165,5.3603E+14,10-02-2025,micro-SIM
6742227166,5.3603E+14,\N,micro-SIM
6742227167,5.3603E+14,20-02-2025,micro-SIM
6742227168,5.3603E+14,06-02-2025,micro-SIM
6742227169,5.3603E+14,04-02-2025,micro-SIM
6742227170,5.3603E+14,22-03-2025,micro-SIM
6742227171,5.3603E+14,14-04-2025,micro-SIM
6742227172,5.3603E+14,12-03-2025,micro-SIM
6742227173,5.3603E+14,14-03-2025,micro-SIM
6742227174,5.3603E+14,19-02-2025,micro-SIM
6742227175,5.3603E+14,20-02-2025,micro-SIM
6742227176,5.3603E+14,31-03-2025,micro-SIM
6742227177,5.3603E+14,07-02-2025,micro-SIM
6742227178,5.3603E+14,12-02-2025,micro-SIM
6742227179,5.3603E+14,17-03-2025,micro-SIM
6742227180,5.3603E+14,07-04-2025,micro-SIM
6742227181,5.3603E+14,07-04-2025,micro-SIM
6742227182,5.3603E+14,07-04-2025,micro-SIM
6742227183,5.3603E+14,07-04-2025,micro-SIM
6742227184,5.3603E+14,15-05-2025,micro-SIM
6742227185,5.3603E+14,24-04-2025,micro-SIM
6742227186,5.3603E+14,07-04-2025,micro-SIM
6742227187,5.3603E+14,07-04-2025,micro-SIM
6742227188,5.3603E+14,07-04-2025,micro-SIM
6742227189,5.3603E+14,24-04-2025,micro-SIM
6742227190,5.3603E+14,05-02-2025,micro-SIM
6742227191,5.3603E+14,23-04-2025,micro-SIM
6742227192,5.3603E+14,04-02-2025,micro-SIM
6742227193,5.3603E+14,16-04-2025,micro-SIM
6742227194,5.3603E+14,04-02-2025,micro-SIM
6742227195,5.3603E+14,07-03-2025,micro-SIM
6742227196,5.3603E+14,27-02-2025,micro-SIM
6742227197,5.3603E+14,20-02-2025,micro-SIM
6742227198,5.3603E+14,27-02-2025,micro-SIM
6742227199,5.3603E+14,28-02-2025,micro-SIM
6742227200,5.3603E+14,26-02-2025,micro-SIM
6742227201,5.3603E+14,28-02-2025,micro-SIM
6742227202,5.3603E+14,17-03-2025,micro-SIM
6742227203,5.3603E+14,26-02-2025,micro-SIM
6742227204,5.3603E+14,17-03-2025,micro-SIM
6742227205,5.3603E+14,03-03-2025,micro-SIM
6742227206,5.3603E+14,05-03-2025,micro-SIM
6742227207,5.3603E+14,15-03-2025,micro-SIM
6742227208,5.3603E+14,28-02-2025,micro-SIM
6742227209,5.3603E+14,04-03-2025,micro-SIM
6742227210,5.3603E+14,12-03-2025,micro-SIM
6742227211,5.3603E+14,13-03-2025,micro-SIM
6742227212,5.3603E+14,17-03-2025,micro-SIM
6742227213,5.3603E+14,10-01-2025,micro-SIM
6742227214,5.3603E+14,08-03-2025,micro-SIM
6742227215,5.3603E+14,17-03-2025,micro-SIM
6742227216,5.3603E+14,16-03-2025,micro-SIM
6742227217,5.3603E+14,17-03-2025,micro-SIM
6742227218,5.3603E+14,17-03-2025,micro-SIM
6742227219,5.3603E+14,17-03-2025,micro-SIM
6742227220,5.3603E+14,17-03-2025,micro-SIM
6742227221,5.3603E+14,17-03-2025,micro-SIM
6742227222,5.3603E+14,17-03-2025,micro-SIM
6742227223,5.3603E+14,08-03-2025,micro-SIM
6742227224,5.3603E+14,17-03-2025,micro-SIM
6742227225,5.3603E+14,28-02-2025,micro-SIM
6742227226,5.3603E+14,27-02-2025,micro-SIM
6742227227,5.3603E+14,27-02-2025,micro-SIM
6742227228,5.3603E+14,13-03-2025,micro-SIM
6742227229,5.3603E+14,05-03-2025,micro-SIM
6742227230,5.3603E+14,27-02-2025,micro-SIM
6742227231,5.3603E+14,03-03-2025,micro-SIM
6742227232,5.3603E+14,06-03-2025,micro-SIM
6742227233,5.3603E+14,12-03-2025,micro-SIM
6742227234,5.3603E+14,03-03-2025,micro-SIM
6742227235,5.3603E+14,27-02-2025,micro-SIM
6742227237,5.3603E+14,03-03-2025,micro-SIM
6742227238,5.3603E+14,27-02-2025,micro-SIM
6742227239,5.3603E+14,12-03-2025,micro-SIM
6742227240,5.3603E+14,06-02-2025,micro-SIM
6742227241,5.3603E+14,06-02-2025,micro-SIM
6742227242,5.3603E+14,04-02-2025,micro-SIM
6742227243,5.3603E+14,14-02-2025,micro-SIM
6742227244,5.3603E+14,05-02-2025,micro-SIM
6742227245,5.3603E+14,10-02-2025,micro-SIM
6742227246,5.3603E+14,04-02-2025,micro-SIM
6742227247,5.3603E+14,04-02-2025,micro-SIM
6742227248,5.3603E+14,04-02-2025,micro-SIM
6742227249,5.3603E+14,04-02-2025,micro-SIM
6742227250,5.3603E+14,10-02-2025,micro-SIM
6742227251,5.3603E+14,07-02-2025,micro-SIM
6742227252,5.3603E+14,06-02-2025,micro-SIM
6742227253,5.3603E+14,06-02-2025,micro-SIM
6742227254,5.3603E+14,05-02-2025,micro-SIM
6742227255,5.3603E+14,\N,micro-SIM
6742227256,5.3603E+14,12-05-2025,micro-SIM
6742227257,5.3603E+14,15-05-2025,micro-SIM
6742227258,5.3603E+14,05-05-2025,micro-SIM
6742227259,5.3603E+14,16-04-2025,micro-SIM
6742227260,5.3603E+14,15-05-2025,micro-SIM
6742227261,5.3603E+14,20-05-2025,micro-SIM
6742227262,5.3603E+14,24-03-2025,micro-SIM
6742227263,5.3603E+14,\N,micro-SIM
6742227264,5.3603E+14,24-02-2025,micro-SIM
6742227265,5.3603E+14,08-04-2025,micro-SIM
6742227266,5.3603E+14,05-05-2025,micro-SIM
6742227267,5.3603E+14,30-04-2025,micro-SIM
6742227268,5.3603E+14,\N,micro-SIM
6742227269,5.3603E+14,29-04-2025,micro-SIM
6742227270,5.3603E+14,14-02-2025,micro-SIM
6742227271,5.3603E+14,14-03-2025,micro-SIM
6742227272,5.3603E+14,23-01-2025,micro-SIM
6742227273,5.3603E+14,04-02-2025,micro-SIM
6742227274,5.3603E+14,28-01-2025,micro-SIM
6742227275,5.3603E+14,28-01-2025,micro-SIM
6742227276,5.3603E+14,15-05-2025,micro-SIM
6742227277,5.3603E+14,07-03-2025,micro-SIM
6742227278,5.3603E+14,07-05-2025,micro-SIM
6742227279,5.3603E+14,\N,micro-SIM
6742227280,5.3603E+14,07-05-2025,micro-SIM
6742227281,5.3603E+14,01-04-2025,micro-SIM
6742227282,5.3603E+14,\N,micro-SIM
6742227283,5.3603E+14,18-02-2025,micro-SIM
6742227284,5.3603E+14,28-03-2025,micro-SIM
6742227285,5.3603E+14,08-04-2025,micro-SIM
6742227286,5.3603E+14,04-04-2025,micro-SIM
6742227287,5.3603E+14,\N,micro-SIM
6742227288,5.3603E+14,\N,micro-SIM
6742227289,5.3603E+14,\N,micro-SIM
6742227290,5.3603E+14,\N,micro-SIM
6742227291,5.3603E+14,\N,micro-SIM
6742227292,5.3603E+14,\N,micro-SIM
6742227293,5.3603E+14,\N,micro-SIM
6742227294,5.3603E+14,\N,micro-SIM
6742227295,5.3603E+14,10-02-2025,micro-SIM
6742227296,5.3603E+14,19-02-2025,micro-SIM
6742227297,5.3603E+14,18-02-2025,micro-SIM
6742227298,5.3603E+14,\N,micro-SIM
6742227299,5.3603E+14,10-01-2025,micro-SIM
6742227300,5.3603E+14,\N,micro-SIM
6742227301,5.3603E+14,\N,micro-SIM
6742227302,5.3603E+14,17-03-2025,micro-SIM
6742227303,5.3603E+14,26-03-2025,micro-SIM
6742227304,5.3603E+14,26-03-2025,micro-SIM
6742227305,5.3603E+14,01-04-2025,micro-SIM
6742227307,5.3603E+14,17-03-2025,micro-SIM
6742227308,5.3603E+14,\N,micro-SIM
6742227309,5.3603E+14,\N,micro-SIM
6742227310,5.3603E+14,\N,micro-SIM
6742227311,5.3603E+14,\N,micro-SIM
6742227312,5.3603E+14,\N,micro-SIM
6742227313,5.3603E+14,26-03-2025,micro-SIM
6742227314,5.3603E+14,17-03-2025,micro-SIM
6742227315,5.3603E+14,30-01-2025,micro-SIM
6742227316,5.3603E+14,30-01-2025,micro-SIM
6742227317,5.3603E+14,30-01-2025,micro-SIM
6742227318,5.3603E+14,30-01-2025,micro-SIM
6742227319,5.3603E+14,30-01-2025,micro-SIM
6742227320,5.3603E+14,\N,micro-SIM
6742227321,5.3603E+14,30-01-2025,micro-SIM
6742227322,5.3603E+14,\N,micro-SIM
6742227323,5.3603E+14,\N,micro-SIM
6742227324,5.3603E+14,\N,micro-SIM
6742227325,5.3603E+14,\N,micro-SIM
6742227326,5.3603E+14,\N,micro-SIM
6742227327,5.3603E+14,\N,micro-SIM
6742227328,5.3603E+14,\N,micro-SIM
6742227329,5.3603E+14,\N,micro-SIM
6742227330,5.3603E+14,\N,micro-SIM
6742227331,5.3603E+14,\N,micro-SIM
6742227332,5.3603E+14,\N,micro-SIM
6742227333,5.3603E+14,10-01-2025,micro-SIM
6742227334,5.3603E+14,\N,micro-SIM
6742227335,5.3603E+14,17-02-2025,micro-SIM
6742227336,5.3603E+14,\N,micro-SIM
6742227337,5.3603E+14,\N,micro-SIM
6742227338,5.3603E+14,\N,micro-SIM
6742227339,5.3603E+14,\N,micro-SIM
6742227340,5.3603E+14,\N,micro-SIM
6742227341,5.3603E+14,\N,micro-SIM
6742227342,5.3603E+14,\N,micro-SIM
6742227343,5.3603E+14,\N,micro-SIM
6742227344,5.3603E+14,\N,micro-SIM
6742227345,5.3603E+14,\N,micro-SIM
6742227346,5.3603E+14,\N,micro-SIM
6742227347,5.3603E+14,\N,micro-SIM
6742227348,5.3603E+14,16-04-2025,micro-SIM
6742227349,5.3603E+14,24-04-2025,micro-SIM
6742227350,5.3603E+14,04-04-2025,micro-SIM
6742227351,5.3603E+14,04-04-2025,micro-SIM
6742227352,5.3603E+14,09-04-2025,micro-SIM
6742227353,5.3603E+14,08-04-2025,micro-SIM
6742227354,5.3603E+14,08-04-2025,micro-SIM
6742227355,5.3603E+14,14-05-2025,micro-SIM
6742227356,5.3603E+14,09-05-2025,micro-SIM
6742227357,5.3603E+14,14-04-2025,micro-SIM
6742227358,5.3603E+14,05-05-2025,micro-SIM
6742227359,5.3603E+14,09-04-2025,micro-SIM
6742227360,5.3603E+14,\N,micro-SIM
6742227361,5.3603E+14,\N,micro-SIM
6742227362,5.3603E+14,08-04-2025,micro-SIM
6742227363,5.3603E+14,04-04-2025,micro-SIM
6742227364,5.3603E+14,23-04-2025,micro-SIM
6742227365,5.3603E+14,01-05-2025,micro-SIM
6742227366,5.3603E+14,11-04-2025,micro-SIM
6742227367,5.3603E+14,16-04-2025,micro-SIM
6742227368,5.3603E+14,\N,micro-SIM
6742227369,5.3603E+14,\N,micro-SIM
6742227370,5.3603E+14,\N,micro-SIM
6742227371,5.3603E+14,\N,micro-SIM
6742227372,5.3603E+14,\N,micro-SIM
6742227373,5.3603E+14,\N,micro-SIM
6742227374,5.3603E+14,\N,micro-SIM
6742227375,5.3603E+14,\N,micro-SIM
6742227376,5.3603E+14,\N,micro-SIM
6742227377,5.3603E+14,\N,micro-SIM
6742227378,5.3603E+14,\N,micro-SIM
6742227379,5.3603E+14,\N,micro-SIM
6742227380,5.3603E+14,\N,micro-SIM
6742227381,5.3603E+14,\N,micro-SIM
6742227382,5.3603E+14,\N,micro-SIM
6742227383,5.3603E+14,\N,micro-SIM
6742227384,5.3603E+14,\N,micro-SIM
6742227385,5.3603E+14,\N,micro-SIM
6742227386,5.3603E+14,\N,micro-SIM
6742227387,5.3603E+14,\N,micro-SIM
6742227388,5.3603E+14,\N,micro-SIM
6742227389,5.3603E+14,\N,micro-SIM
6742227390,5.3603E+14,\N,micro-SIM
6742227391,5.3603E+14,\N,micro-SIM
